"Model","beta","focal","coef","AIC","train.RMSE","predict.RMSE","BIC","fold","likeli"
"Australia","T","Hypochaeris.glabra",102,1866.08059294529,0.845336891148666,83.2399469078492,2166.0840461761,4,-830.040296472644
"Australia","F","Hypochaeris.glabra",20,1758.30391559682,1.01323870465271,1.13706194349665,1819.15855139579,5,-858.151957798412
"Australia","T","Hypochaeris.glabra",105,1815.5174398072,0.889532363491712,329580639550658,2122.688458602,5,-801.7587199036
"Australia","F","Podotheca.gnaphalioides",14,656.367037485812,1.00532776445285,1.54805887378855,685.047382567234,1,-313.183518742906
"Australia","T","Podotheca.gnaphalioides",53,673.234028198762,0.916443957077937,7.543023111197,776.483270491881,1,-282.617014099381
"Australia","F","Podotheca.gnaphalioides",14,731.203254261624,0.918452013622569,1.22543773153517,761.038014960088,2,-350.601627130812
"Australia","T","Podotheca.gnaphalioides",53,741.40178741188,0.759077253931508,56.7538931666357,848.806925926351,2,-316.70089370594
"Australia","F","Podotheca.gnaphalioides",14,657.959336413617,0.895407514920243,1.57625657546966,686.336640885277,3,-313.979668206809
"Australia","T","Podotheca.gnaphalioides",50,682.391493310442,0.79076654873206,11.0880073299499,778.874328514084,3,-290.195746655221
"Australia","F","Podotheca.gnaphalioides",14,653.39417717134,0.900808546214561,1.54277157515949,681.146391196991,4,-311.69708858567
"Australia","T","Podotheca.gnaphalioides",47,675.959019665248,0.740546857200491,7.47210675582451,764.76610454733,4,-289.979509832624
"Australia","F","Podotheca.gnaphalioides",14,759.376080491855,0.93515610306743,0.732493548577071,789.756355852882,5,-364.688040245927
"Australia","T","Podotheca.gnaphalioides",49,764.271441097458,0.789407292888672,3.65809293099555,865.539025634215,5,-332.135720548729
"Australia","F","Trachymene.ornata",18,1526.40794272755,0.996757059073604,0.8729355601675,1583.73625962703,1,-744.203971363775
"Australia","T","Trachymene.ornata",83,1557.06954562607,0.999505762251145,34.2102505182022,1810.52105191853,1,-694.534772813037
"Australia","F","Trachymene.ornata",18,1546.51265125616,1.0362368989768,0.60914868317006,1604.09097176262,2,-754.256325628081
"Australia","T","Trachymene.ornata",83,1571.33131154461,1.01252032975557,5.69505492287754,1825.88809694158,2,-701.665655772307
"Australia","F","Trachymene.ornata",18,1536.47709172833,1.0420821982287,0.772649319101697,1593.93082162441,3,-749.238545864167
"Australia","T","Trachymene.ornata",81,1555.24344780059,1.031386808676,1.26274379935148,1803.20165050998,3,-695.621723900295
"Australia","F","Trachymene.ornata",18,1479.38601752292,1.00185487962694,0.861294834855941,1536.58808811075,4,-720.693008761462
"Australia","T","Trachymene.ornata",84,1492.88825736084,0.961004793082294,6.67370058561731,1748.79225735902,4,-661.444128680419
"Australia","F","Trachymene.ornata",18,1510.66607384104,1.00565456284916,0.784404857870996,1567.86814442887,5,-736.33303692052
"Australia","T","Trachymene.ornata",82,1542.54224237777,1.0162548978671,2.07023197005138,1792.42497178776,5,-688.271121188884
"Australia","F","Ursinia.anthemoides",15,729.229867511513,1.0737006997396,1.77790480442151,762.739380507067,1,-348.614933755757
"Australia","T","Ursinia.anthemoides",54,758.2543844616,0.922825515312132,5.04485873431798,873.443335383816,1,-324.1271922308
"Australia","F","Ursinia.anthemoides",15,766.114927813149,1.02284338859999,1.78319755718978,800.149077973871,2,-367.057463906575
"Australia","T","Ursinia.anthemoides",55,771.106263785107,0.874822123808222,5.53941574165631,890.225789347632,2,-329.553131892553
"Australia","F","Ursinia.anthemoides",15,656.366802922465,1.04121309714422,1.37137057764054,688.190547667494,3,-312.183401461233
"Australia","T","Ursinia.anthemoides",48,676.722345272287,0.821820593322519,2.76607013229943,774.182563553936,3,-289.361172636143
"Australia","F","Ursinia.anthemoides",15,797.709070995716,1.02767675576523,1.21305996353624,832.499267314047,4,-382.854535497858
"Australia","T","Ursinia.anthemoides",56,811.420929494814,0.837756853194062,13.1743235802426,935.361003878866,4,-348.710464747407
"Australia","F","Ursinia.anthemoides",15,712.716908278925,1.06255624515786,1.04859714346775,745.957507381416,5,-340.358454139462
"Australia","T","Ursinia.anthemoides",52,754.912394781138,0.964530474357028,2.53863371270051,865.021879308141,5,-324.456197390569
"Australia","F","Waitzia.acuminata",19,2331.26454990673,1.12193729135322,1.33498394414036,2391.20879538201,1,-1145.63227495336
"Australia","T","Waitzia.acuminata",91,2401.12172283876,1.11106471008854,7.53900072343082,2676.86525202505,1,-1108.56086141938
"Australia","F","Waitzia.acuminata",19,2331.64875285019,1.18489052481702,1.34450200983482,2391.7276789691,2,-1145.82437642509
"Australia","T","Waitzia.acuminata",94,2398.43784760921,1.16742948462344,3.90365630120918,2683.81274667403,2,-1104.21892380461
"Australia","F","Waitzia.acuminata",19,2275.48775581199,1.16582655461591,0.811444175945037,2335.0224306604,3,-1117.74387790599
"Australia","T","Waitzia.acuminata",90,2322.97493872587,1.12289017532389,15.0071945106402,2593.85770928614,3,-1070.48746936293
"Australia","F","Waitzia.acuminata",19,2270.45791036657,0.990558022120875,1.11019763538121,2329.99258521499,4,-1115.22895518329
"Australia","T","Waitzia.acuminata",89,2305.12032583715,0.995014820362566,13.2647359636545,2573.02636265501,4,-1062.56016291858
"Australia","F","Waitzia.acuminata",19,2291.92621119982,1.16856282331037,1.29615530282231,2351.46088604823,5,-1125.96310559991
"Australia","T","Waitzia.acuminata",87,2358.17210309508,1.12038927290516,3.44100926229844,2620.12467242809,5,-1091.08605154754
